penalty,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_informative,flip_y,scale,time
l1,442,852,4,639,199,2,7,0.0305582338,28103433.03,0.3322458267
none,417,475,16,1089,327,4,7,0.07479794946,37124212.82,0.4099872112
l1,578,569,1,790,373,4,7,0.0777808697,681277609.1,3.950952768
none,588,529,2,428,1198,2,6,0.03019624407,301494001,0.3687019348
none,829,103,4,877,313,6,7,0.05726111197,341342096.6,1.00455904
elasticnet,167,418,2,216,644,8,11,0.07372770054,92921890.07,0.8028001785
l1,986,94,4,1396,861,4,6,0.09748338067,1185128710,7.916113138
none,929,532,2,908,691,5,6,0.09532428304,1457202062,2.206062078
l1,422,143,8,677,737,9,8,0.04046325489,236876180.8,2.407142639
l1,308,85,8,498,1191,2,9,0.02563876181,45670171.03,1.002341032
l2,510,574,8,1380,803,9,10,0.02462043482,635795899,1.607144356
none,479,535,8,1178,1047,7,8,0.01770494243,516935059.8,0.9056992531
l2,259,960,2,860,639,10,11,0.03616481496,711655260,1.003841877
elasticnet,618,460,4,628,195,3,9,0.07758393457,56760670.08,0.8033866882
l2,668,503,8,500,1370,9,8,0.08575708244,514778003.1,1.2073915
l2,386,66,2,907,1090,5,9,0.08769851148,954028016.1,1.507311583
none,103,288,2,111,573,3,8,0.005868679447,9826951.506,0.1017343998
none,691,947,1,484,1276,3,7,0.087911403,1280252579,1.564079523
elasticnet,719,259,2,103,209,9,9,0.05438506552,69650867.55,0.603312254
elasticnet,265,895,4,646,1001,3,7,0.02535837914,128521787.5,1.405600786
elasticnet,365,736,2,1251,877,4,11,0.04363904319,800903446,6.013842106
none,213,101,4,222,128,6,8,0.0008417235154,9079013.001,0.1041536331
elasticnet,280,443,8,336,646,3,6,0.06647163809,22791323.07,0.5041308403
none,213,445,2,859,562,8,9,0.03103868562,411310261,0.6031734943
none,306,446,16,704,611,10,8,0.02560712226,82265486.03,0.3086137772
l1,695,254,2,893,405,3,6,0.08439677229,377036016.6,3.107063532
none,871,499,1,173,468,6,9,0.047897248,423118363,0.5425331593
elasticnet,973,987,2,426,245,7,9,0.04222733999,355433022,3.107123852
l2,763,834,4,584,130,6,11,0.08896351678,86891274.09,0.3026628494
none,130,854,16,1244,960,10,9,0.04282811077,97032854.04,0.3074529171
none,846,531,2,409,1243,9,11,0.02819090799,1935429840,2.706452608
l2,362,610,16,1052,973,9,10,0.02805089648,208430345.5,0.7103745937
l2,161,978,2,621,1037,6,7,0.09814697547,311041869.1,0.4031496048
l2,944,678,4,151,835,3,9,0.02144846844,89268858.02,0.2023482323
