penalty,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time,n1,WithFeature,featureInfo,WithInfo,Withflip,total clusters,clusterInfo,All,AllDjob,AllDDjob,AllwithFlip,AllwithClass m1,flipwithcluster,WithfeatureInfo,m1flip,WithfeatureInfoMflip,WithfeatureInfoDjob,x2,m1flipDjob,final
none,417,475,16,1089,327,4,3,7,0.07479794946,37123737.82,0.4099872112,454113,148494951,2289,3178791,33966.72122,12,84,12473575884,779598492.8,48724905.8,58312368.66,4157858628,0.8975753935,1039464657,310999299.5,77749824.88,64966541.06,0.0560984621,19437456.22,259866164.3
l1,578,569,1,790,373,4,5,7,0.0777808697,681277040.1,3.950952768,456620,170319260,2611,3196340,35516.30072,20,140,23844696400,23844696400,23844696400,1854661224,4768939280,1.555617394,1192234820,370932244.7,92733061.19,1192234820,1192234820,370932244.7,4768939280
none,588,529,2,428,1198,2,5,6,0.03019624407,301493472,0.3687019348,251616,301493472,7188,1509984,7597.858148,10,60,18086158080,9043079040,4521539520,273067021.8,3617231616,0.3019624407,1808615808,109226808.7,54613404.37,904307904,452153952,54613404.37,1808615808
none,829,103,4,877,313,6,5,7,0.05726111197,341341993.6,1.00455904,727033,227561329,2191,5089231,41630.71802,30,210,47787879090,11946969773,2986742443,684096773.8,9557575818,1.717833359,1592929303,547277419.1,91212903.18,398232325.8,99558081.44,136819354.8,2389393955
elasticnet,167,418,2,216,164,8,5,11,0.07372770054,23663232.07,0.8028001785,36072,23230368,7084,396792,2659.505614,40,440,10221361920,5110680960,2555340480,376798755.4,2044272384,2.949108022,255534048,150719502.1,18839937.77,127767024,63883512,75359751.07,1022136192
l1,986,94,4,1396,861,4,2,6,0.09748338067,1185128616,7.916113138,1371656,1185128616,5166,8258736,133713.664,8,48,56687799168,14171949792,3542987448,1381529576,28343899584,0.7798670454,7085974896,2763059153,690764788.2,1771493724,442873431,690764788.2,7085974896
none,929,532,2,908,691,5,2,6,0.09532428304,1457201530,2.206062078,843532,582880612,4146,5061192,80409.08312,10,60,34972836720,17486418360,8743209180,1666880293,17486418360,0.9532428304,3497283672,1666880293,333376058.6,1748641836,874320918,833440146.6,8743209180
l1,422,143,8,677,737,9,5,8,0.04046325489,236876037.8,2.407142639,285694,210551678,5896,2285552,11560.10914,45,360,75800332080,9475041510,1184380189,383391019.7,15160066416,1.82084647,1684451824,613425631.5,68158403.5,210556478,26319559.75,76678203.94,1895008302
l1,308,85,8,498,1191,2,4,9,0.02563876181,45670086.03,1.002341032,153384,182680344,10719,1380456,3932.575841,8,72,13152984768,1644123096,205515387,42153280.44,3288246192,0.2051100945,1644123096,84306560.89,42153280.44,205515387,25689423.38,10538320.11,411030774
l2,510,574,8,1380,803,9,5,10,0.02462043482,635795325,1.607144356,703800,565151400,8030,7038000,17327.86203,45,450,254318130000,31789766250,3973720781,782677867.9,50863626000,1.107919567,5651514000,1252284589,139142732.1,706439250,88304906.25,156535573.6,6357953250
