penalty,max_iter,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,time,n1,n2,n3
none,417,16,1089,327,4,3,7,0.4099872112,28382.0625,0.75,5.25
l1,578,1,790,373,4,5,7,3.950952768,456620,20,140
none,588,2,428,1198,2,5,6,0.3687019348,125832,5,30
none,829,4,877,313,6,5,7,1.00455904,181758.25,7.5,52.5
elasticnet,167,2,216,644,8,5,11,0.8028001785,18036,20,220
l1,986,4,1396,861,4,2,6,7.916113138,344114,2,12
none,929,2,908,691,5,2,6,2.206062078,421766,5,30
l1,422,8,677,737,9,5,8,2.407142639,35711.75,5.625,45
l1,308,8,498,1191,2,4,9,1.002341032,19173,1,9
l2,510,8,1380,803,9,5,10,1.607144356,87975,5.625,56.25
none,479,8,1178,1047,7,4,8,0.9056992531,70532.75,3.5,28
l2,259,2,860,639,10,2,11,1.003841877,111370,10,110
elasticnet,618,4,628,195,3,5,9,0.8033866882,97026,3.75,33.75
l2,668,8,500,1370,9,4,8,1.2073915,41750,4.5,36
l2,386,2,907,1090,5,3,9,1.507311583,175051,7.5,67.5
none,103,2,111,573,3,3,8,0.1017343998,5716.5,4.5,36
none,691,1,484,1276,3,5,7,1.564079523,334444,15,105
elasticnet,719,2,103,209,9,3,9,0.603312254,37028.5,13.5,121.5
elasticnet,265,4,646,1001,3,5,7,1.405600786,42797.5,3.75,26.25
elasticnet,365,2,1251,877,4,4,11,6.013842106,228307.5,8,88
none,213,4,222,128,6,4,8,0.1041536331,11821.5,6,48
elasticnet,280,8,336,646,3,5,6,0.5041308403,11760,1.875,11.25
none,213,2,859,562,8,2,9,0.6031734943,91483.5,8,72
none,306,16,704,611,10,5,8,0.3086137772,13464,3.125,25
l1,695,2,893,405,3,2,6,3.107063532,310317.5,3,18
none,871,1,173,468,6,3,9,0.5425331593,150683,18,162
elasticnet,973,2,426,245,7,3,9,3.107123852,207249,10.5,94.5
l2,763,4,584,130,6,4,11,0.3026628494,111398,6,66
none,130,16,1244,960,10,2,9,0.3074529171,10107.5,1.25,11.25
none,846,2,409,1243,9,5,11,2.706452608,173007,22.5,247.5
l2,362,16,1052,973,9,2,10,0.7103745937,23801.5,1.125,11.25
l2,161,2,621,1037,6,5,7,0.4031496048,49990.5,15,105
l2,944,4,151,835,3,4,9,0.2023482323,35636,3,27
l1,420,4,1058,607,8,3,7,3.708951235,111090,6,42
none,794,2,826,327,3,5,10,0.8034977913,327922,7.5,75
elasticnet,639,2,418,768,4,4,8,2.906409979,133551,8,64
none,735,2,1071,889,9,4,10,5.011070013,393592.5,18,180
none,265,8,602,530,3,4,7,0.204308033,19941.25,1.5,10.5
l1,944,2,1396,493,10,2,11,22.13564038,658912,10,110
none,123,2,267,509,7,5,9,0.1030123234,16420.5,17.5,157.5
l1,452,16,1194,1028,8,2,8,3.616493225,33730.5,1,8
elasticnet,833,4,219,1309,5,4,9,3.208013535,45606.75,5,45
l2,976,8,1217,113,7,4,11,0.5041821003,148474,3.5,38.5
none,913,16,329,806,3,3,7,0.4080145359,18773.5625,0.5625,3.9375
l2,255,4,1064,627,7,4,8,0.5038797855,67830,7,56
l2,420,2,1366,944,5,5,9,2.107222319,286860,12.5,112.5
elasticnet,480,2,1047,523,6,3,7,6.31253767,251280,9,63
elasticnet,335,2,952,1379,7,5,12,12.42343616,159460,17.5,210
elasticnet,757,1,910,1059,5,2,10,25.18621421,688870,10,100
none,513,16,107,154,10,2,7,0.1069338322,3430.6875,1.25,8.75
l1,769,8,1152,233,8,2,11,2.307451248,110736,2,22
elasticnet,686,4,486,369,5,5,9,1.805185318,83349,6.25,56.25
l1,172,1,1284,826,6,3,7,6.076055527,220848,18,126
elasticnet,397,2,497,770,2,5,10,1.04891777,98654.5,5,50
elasticnet,199,8,637,415,3,4,9,0.5050563812,15845.375,1.5,13.5
l1,735,1,1313,686,3,4,9,10.91638327,965055,12,108
elasticnet,939,16,280,585,7,4,10,1.307864904,16432.5,1.75,17.5
l2,526,16,476,481,8,4,12,0.2075018883,15648.5,2,24
none,727,4,1290,1048,7,3,7,2.608286381,234457.5,5.25,36.75
none,686,8,1039,431,4,4,10,0.6050031185,89094.25,2,20
none,758,8,1234,1252,4,3,10,1.608695269,116921.5,1.5,15
none,600,1,763,1394,2,4,10,0.7831168175,457800,8,80
l1,315,2,1157,459,4,3,9,2.506043673,182227.5,6,54
l1,839,2,239,211,9,2,7,1.504099846,100260.5,9,63
none,560,1,1351,162,9,5,11,1.992304325,756560,45,495
l1,275,8,592,316,5,3,9,0.4038617611,20350,1.875,16.875
none,401,1,663,1295,8,2,11,3.355512619,265863,16,176
l2,924,4,388,707,3,5,10,0.4037935734,89628,3.75,37.5
l2,370,8,517,1263,8,4,11,0.4047586918,23911.25,4,44
l2,373,4,1273,339,2,5,8,0.2962100506,118707.25,2.5,20
none,764,8,664,1073,3,2,6,0.7050335407,63412,0.75,4.5
l2,274,2,733,262,4,3,8,0.302229166,100421,6,48
l1,270,1,1296,1264,5,2,10,12.60606813,349920,10,100
l2,212,1,545,1099,5,3,7,0.7832143307,115540,15,105
l2,251,8,555,1121,4,4,7,0.3048725128,17413.125,2,14
l1,460,16,1126,1155,5,3,9,3.617695093,32372.5,0.9375,8.4375
elasticnet,737,2,1050,809,8,4,10,18.02988076,386925,16,160
none,797,1,819,543,4,2,8,1.807029486,652743,8,64
l1,423,1,869,311,4,2,6,2.675535679,367587,8,48
l2,689,1,469,980,3,2,8,1.169397116,323141,6,48
l2,817,16,977,281,5,3,9,0.5089981556,49888.0625,0.9375,8.4375
elasticnet,803,4,727,695,9,3,10,8.816298008,145945.25,6.75,67.5
elasticnet,765,2,716,1326,2,5,7,4.876769543,273870,5,35
elasticnet,247,4,229,947,9,4,9,1.204249382,14140.75,9,81
l1,870,1,679,291,10,5,9,10.1505723,590730,50,450
none,303,2,316,604,3,3,10,0.2027390003,47874,4.5,45
elasticnet,723,16,622,655,2,5,10,2.045994282,28106.625,0.625,6.25
none,443,16,366,1020,3,3,7,0.3084378242,10133.625,0.5625,3.9375
elasticnet,749,4,1336,696,2,2,7,3.989420652,250166,1,7
elasticnet,816,2,178,187,10,2,11,1.104005098,72624,10,110
none,519,16,956,586,9,4,11,0.6093137264,31010.25,2.25,24.75
none,696,8,1261,877,3,3,9,1.106198549,109707,1.125,10.125
l1,453,4,599,732,4,3,9,1.304980755,67836.75,3,27
l2,277,8,1118,478,5,5,9,0.3040142059,38710.75,3.125,28.125
elasticnet,738,4,141,1137,4,2,8,0.9035139084,26014.5,2,16
none,105,4,1057,1263,6,4,8,0.4047288895,27746.25,6,48
l1,291,8,1283,1159,4,4,11,2.810808659,46669.125,2,22
elasticnet,674,8,1220,729,6,2,6,4.412492514,102785,1.5,9
l2,277,8,619,280,5,2,7,0.2041153908,21432.875,1.25,8.75
elasticnet,348,4,1150,300,4,5,8,1.404977798,100050,5,40
l1,483,16,1299,130,6,3,9,1.110111237,39213.5625,1.125,10.125
none,392,4,1192,1195,8,5,8,1.709271669,116816,10,80
elasticnet,105,16,1063,922,10,5,8,1.113870144,6975.9375,3.125,25
l2,832,16,948,1299,8,2,9,1.511168242,49296,1,9
l2,982,4,581,605,6,5,10,0.9041521549,142635.5,7.5,75
l2,875,8,784,650,5,3,9,0.7048082352,85750,1.875,16.875
l2,322,16,1182,310,8,2,8,0.307986021,23787.75,1,8
none,254,16,641,952,6,4,11,0.3062272072,10175.875,1.5,16.5
l2,555,16,1285,1227,8,4,8,1.310632706,44573.4375,2,16
l2,462,4,328,1039,7,5,8,0.4036018848,37884,8.75,70
none,794,4,972,516,3,3,7,0.6036806107,192942,2.25,15.75
l2,478,4,252,483,2,4,8,0.07534170151,30114,2,16
none,316,4,707,300,2,4,8,0.09172463417,55853,2,16
l1,638,4,444,149,5,3,8,0.6031577587,70818,3.75,30
elasticnet,493,4,1105,637,2,3,6,2.221226215,136191.25,1.5,9
elasticnet,895,8,752,1080,4,3,10,5.613289118,84130,1.5,15
none,902,8,1194,480,7,4,8,1.105895042,134623.5,3.5,28
elasticnet,224,8,1330,589,4,2,10,1.507113457,37240,1,10
none,820,4,1274,1318,7,4,10,3.912236452,261170,7,70
elasticnet,500,16,1339,1047,7,3,11,5.622286558,41843.75,1.3125,14.4375
l1,113,2,624,816,9,4,11,1.705229282,35256,18,198
elasticnet,112,4,1047,179,5,5,9,0.4028890133,29316,6.25,56.25
l1,444,8,719,118,10,5,12,0.9043483734,39904.5,6.25,75
l2,907,4,1321,1026,3,2,5,1.707449436,299536.75,1.5,7.5
elasticnet,510,16,281,343,4,2,8,0.5090444088,8956.875,0.5,4
elasticnet,442,16,578,1035,7,4,9,2.212547541,15967.25,1.75,15.75
elasticnet,957,1,1395,802,3,2,7,22.32152057,1335015,6,42
elasticnet,122,4,497,1030,4,3,9,0.504525423,15158.5,3,27
none,119,4,433,863,9,2,11,0.2027921677,12881.75,4.5,49.5
l1,719,4,444,838,10,2,9,4.810433149,79809,5,45
l2,522,2,1275,883,4,2,7,1.505801439,332775,4,28
l1,452,4,256,1095,6,3,7,1.505218983,28928,4.5,31.5
l2,451,8,1231,262,6,2,10,0.4049165249,69397.625,1.5,15
